Country,Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Flag URL
Belgium,Western Europe,961197.645,757938.903,840250.103,1968318.966,1399353.822,1477354.53,1483039.266,1244422.67,1240854.228,1330370.304,956773.64,934115.909,905012.184,1159429.838,https://public.flourish.studio/country-flags/svg/be.svg
Canada,North America,1276401.195,1180411.461,1438775.482,1287952.372,1294755.666,1291989.817,1338616.719,1136557.08,1071420.672,1144140.04,0,1236217.869,1085511.3,1394444.273,https://public.flourish.studio/country-flags/svg/ca.svg
France,Western Europe,2566434.629,1512980.984,1665405.835,2455547.952,1631811.115,1649358.118,1645190.472,1431226.276,1421116.623,1490792.789,1606063.465,1557072.086,1336648.263,1610900.14,https://public.flourish.studio/country-flags/svg/fr.svg
Germany,Western Europe,5785600.563,3324014.013,4112852.185,6253969.961,4351655.594,4317283.652,4464233.737,3932533.155,3664799.155,4142161.567,4460367.742,4308468.66,4056614.222,4806496.361,https://public.flourish.studio/country-flags/svg/de.svg
Italy,Southern Europe,2304368.801,1293615.296,1453589.568,2203928.357,1593436.918,1641107.295,1674483.746,1442148.096,1439492.882,1581123.949,1710031.763,1557778.415,1472645.495,1818826.691,https://public.flourish.studio/country-flags/svg/it.svg
Netherlands,Western Europe,0,1390466.957,1782723.509,1818967.027,1379209.092,1440750.489,1443997.637,1195622.155,1200320.211,1324362.806,1460333.613,1462884.929,1442902.588,1842360.672,https://public.flourish.studio/country-flags/svg/nl.svg
Poland,Eastern Europe,700962.545,403886.993,496512.9,775911.073,506891.031,560735.676,580021.124,509061.449,510423.572,570100.703,632108.728,626532.976,630370.112,0,https://public.flourish.studio/country-flags/svg/pl.svg
Spain,Southern Europe,1155641.098,680927.305,790321.684,1250762.916,855843.586,923046.07,959024.513,831154.001,849670.189,925968.228,1009215.706,958978.835,901571.976,1106648.487,https://public.flourish.studio/country-flags/svg/es.svg
UK,Northern Europe,1970700.067,1135674.458,1344290.905,2215454.505,1449249.39,1721053.653,1588560.724,1480633.436,1290396.893,1369762.454,1284514.384,0,0,0,https://public.flourish.studio/country-flags/svg/gb.svg
USA,North America,3702969.438,3021218.299,4997739.446,5551021.982,4576687.446,4457346.722,4748444.963,4436855.012,4482643.979,4319606.151,4645149.462,4592584.267,3996191.266,0,https://public.flourish.studio/country-flags/svg/us.svg
